Date,Open,High,Low,Close,Change (Pips),Change (%)
Jun 16 2017 11:00,0.87495,0.87507,0.8744,0.87448,-4.7,-0.05%
Jun 16 2017 10:00,0.87518,0.8755,0.87468,0.87493,-2.5,-0.03%
Jun 16 2017 09:00,0.87511,0.87557,0.87473,0.87518,0.7,0.01%
Jun 16 2017 08:00,0.87434,0.87541,0.87417,0.87511,7.7,0.09%
Jun 16 2017 07:00,0.87346,0.8744,0.87318,0.87434,8.8,0.10%
Jun 16 2017 06:00,0.87261,0.87371,0.87234,0.87345,8.4,0.10%
Jun 16 2017 05:00,0.87269,0.87289,0.87221,0.87265,-0.4,0.00%
Jun 16 2017 04:00,0.87274,0.87321,0.87248,0.87269,-0.5,-0.01%
Jun 16 2017 03:00,0.8726,0.87284,0.87223,0.8727,1,0.01%
Jun 16 2017 02:00,0.87284,0.87287,0.87191,0.8726,-2.4,-0.03%
Jun 16 2017 01:00,0.87322,0.87339,0.87272,0.87287,-3.5,-0.04%
Jun 16 2017 00:00,0.87368,0.87377,0.873,0.87321,-4.7,-0.05%
Jun 15 2017 23:00,0.87396,0.87421,0.87348,0.87369,-2.7,-0.03%
Jun 15 2017 22:00,0.87397,0.87424,0.8738,0.87392,-0.5,-0.01%
Jun 15 2017 21:00,0.87327,0.8741,0.8732,0.87398,7.1,0.08%
Jun 15 2017 20:00,0.87373,0.87389,0.8731,0.87375,0.2,0.00%
Jun 15 2017 19:00,0.87394,0.87406,0.87346,0.87374,-2,-0.02%
Jun 15 2017 18:00,0.87389,0.8741,0.87383,0.87394,0.5,0.01%
Jun 15 2017 17:00,0.87382,0.87397,0.8733,0.87389,0.7,0.01%
Jun 15 2017 16:00,0.87343,0.87413,0.87336,0.87382,3.9,0.04%
Jun 15 2017 15:00,0.87374,0.87436,0.87327,0.87345,-2.9,-0.03%
Jun 15 2017 14:00,0.87446,0.87449,0.87266,0.87376,-7,-0.08%
Jun 15 2017 13:00,0.87539,0.87555,0.87409,0.87442,-9.7,-0.11%
Jun 15 2017 12:00,0.87431,0.87725,0.87387,0.87537,10.6,0.12%
Jun 15 2017 11:00,0.8795,0.87956,0.87227,0.87433,-51.7,-0.59%
Jun 15 2017 10:00,0.87855,0.87962,0.87802,0.8795,9.5,0.11%
Jun 15 2017 09:00,0.87986,0.88067,0.87822,0.87855,-13.1,-0.15%
Jun 15 2017 08:00,0.87944,0.88033,0.87872,0.87982,3.8,0.04%
Jun 15 2017 07:00,0.88029,0.88031,0.87807,0.87948,-8.1,-0.09%
Jun 15 2017 06:00,0.88018,0.88074,0.87974,0.88032,1.4,0.02%
Jun 15 2017 05:00,0.88027,0.88029,0.87973,0.88015,-1.2,-0.01%
Jun 15 2017 04:00,0.88038,0.88045,0.88007,0.88028,-1,-0.01%
Jun 15 2017 03:00,0.87999,0.88068,0.87982,0.88041,4.2,0.05%
Jun 15 2017 02:00,0.87994,0.88038,0.87986,0.87997,0.3,0.00%
Jun 15 2017 01:00,0.87968,0.88038,0.87961,0.87992,2.4,0.03%
Jun 15 2017 00:00,0.87915,0.88004,0.87915,0.8797,5.5,0.06%
Jun 14 2017 23:00,0.87872,0.87948,0.8785,0.87911,3.9,0.04%
Jun 14 2017 22:00,0.87971,0.87977,0.87854,0.87873,-9.8,-0.11%
Jun 14 2017 21:00,0.87965,0.87997,0.87927,0.87973,0.8,0.01%
Jun 14 2017 20:00,0.87998,0.8801,0.87938,0.87964,-3.4,-0.04%
Jun 14 2017 19:00,0.88,0.88006,0.87901,0.88003,0.3,0.00%
Jun 14 2017 18:00,0.88013,0.88099,0.87923,0.87995,-1.8,-0.02%
Jun 14 2017 17:00,0.88105,0.88117,0.88005,0.88015,-9,-0.10%
Jun 14 2017 16:00,0.88051,0.88106,0.87977,0.88105,5.4,0.06%
